Entity, RDF Type, URI
Willard Jenkins,person,http://base.semlab.io/entity/Q19038
Brooklyn,borough,http://base.semlab.io/entity/Q18808
James Spaulding,person,http://base.semlab.io/entity/Q18957
The Blue Coronet,music venue,http://base.semlab.io/entity/Q18834
The Continental,music venue,http://base.semlab.io/entity/Q18884
Cassandra Wilson,person,http://base.semlab.io/entity/Q1381
The Happy Landing,music venue,http://base.semlab.io/entity/Q18888
Joe Louis,person,http://base.semlab.io/entity/Q746
Carlos Garnett,person,http://base.semlab.io/entity/Q18929
Freddie Hubbard,person,http://base.semlab.io/entity/Q934
Dexter Gordon,person,http://base.semlab.io/entity/Q117
Lee Morgan,person,http://base.semlab.io/entity/Q959
J.J. Johnson,person,http://base.semlab.io/entity/Q1090
The East,music venue,http://base.semlab.io/entity/Q18885
Sonny Stitt,person,http://base.semlab.io/entity/Q448
Baby Grand Brooklyn,music venue,http://base.semlab.io/entity/Q18830
Club La Marchal,music venue,http://base.semlab.io/entity/Q18847
Art Blakey,person,http://base.semlab.io/entity/Q281
Orville O'Brien,person,http://base.semlab.io/entity/Q19002
Harold Mabern,person,http://base.semlab.io/entity/Q18954
Bob Cunningham,person,http://base.semlab.io/entity/Q18922
Lenny White,person,http://base.semlab.io/entity/Q468
Michael Ridley,person,http://base.semlab.io/entity/Q18997
Larry Ridley,person,http://base.semlab.io/entity/Q18981
Randy Weston,person,http://base.semlab.io/entity/Q657
Max Roach,person,http://base.semlab.io/entity/Q66
Jitu Weusi,person,http://base.semlab.io/entity/Q18967
Up Over Jazz Café,music venue,http://base.semlab.io/entity/Q18903
Sista's Place,music venue,http://base.semlab.io/entity/Q18876
