Entity, RDF Type, URI
Willard Jenkins,person,http://base.semlab.io/entity/Q19038
Harold Mabern,person,http://base.semlab.io/entity/Q18954
George Coleman,person,http://base.semlab.io/entity/Q501
Frank Strozier,person,http://base.semlab.io/entity/Q436
Booker Little,person,http://base.semlab.io/entity/Q1423
Walter Perkins,person,http://base.semlab.io/entity/Q19036
Bob Cranshaw,person,http://base.semlab.io/entity/Q794
Willie Thomas,person,http://base.semlab.io/entity/Q19040
Paul Serrano,person,http://base.semlab.io/entity/Q19006
MJT+3,music group,http://base.semlab.io/entity/Q18817
Muhal Richard Abrams,person,http://base.semlab.io/entity/Q18998
Brooklyn,borough,http://base.semlab.io/entity/Q18808
Al Plank,person,http://base.semlab.io/entity/Q18914
Larry Ridley,person,http://base.semlab.io/entity/Q18981
Freddie Hubbard,person,http://base.semlab.io/entity/Q934
Jimmy Spaulding,person,http://base.semlab.io/entity/Q18957
Eubie Blake,person,http://base.semlab.io/entity/Q347
Mel Rhyne,person,http://base.semlab.io/entity/Q18992
Paul Parker,person,http://base.semlab.io/entity/Q19005
Percy Heath,person,http://base.semlab.io/entity/Q1121
Max Roach,person,http://base.semlab.io/entity/Q66
Ben Holliman,person,http://base.semlab.io/entity/Q18918
Virgil Jones,person,http://base.semlab.io/entity/Q19033
Walt Miller,person,http://base.semlab.io/entity/Q19035
The Jazz Contemporaries,music group,http://base.semlab.io/entity/Q18814
Slide Hampton Octet,music group,http://base.semlab.io/entity/Q18822
Birdland,music venue,http://base.semlab.io/entity/Q18833
Lee Morgan,person,http://base.semlab.io/entity/Q959
Lou Donaldson,person,http://base.semlab.io/entity/Q1737
Art Farmer,person,http://base.semlab.io/entity/Q661
Cedar Walton,person,http://base.semlab.io/entity/Q1365
Pete LaRoca,person,http://base.semlab.io/entity/Q19007
Clifford Jarvis,person,http://base.semlab.io/entity/Q18933
Louis Hayes,person,http://base.semlab.io/entity/Q18986
Slide Hampton,person,http://base.semlab.io/entity/Q663
Half Note,music venue,http://base.semlab.io/entity/Q18855
Philly Joe Jones,person,http://base.semlab.io/entity/Q447
Jackie McLean,person,http://base.semlab.io/entity/Q365
Blue Mitchell,person,http://base.semlab.io/entity/Q819
Turbo Village,music venue,http://base.semlab.io/entity/Q18901
The Blue Coronet,music venue,http://base.semlab.io/entity/Q18834
Dexter Gordon,person,http://base.semlab.io/entity/Q117
Andrew Cyrille,person,http://base.semlab.io/entity/Q471
Barry Harris,person,http://base.semlab.io/entity/Q1009
Tony Williams,person,http://base.semlab.io/entity/Q20
Tommy Williams,person,http://base.semlab.io/entity/Q19026
Rector Bailey,person,http://base.semlab.io/entity/Q19012
Baby Grand Brooklyn,music venue,http://base.semlab.io/entity/Q18830
Club La Marchal,music venue,http://base.semlab.io/entity/Q18847
Randy Weston,person,http://base.semlab.io/entity/Q657
Booker Ervin,person,http://base.semlab.io/entity/Q1953
Scoby Strohman,person,http://base.semlab.io/entity/Q19022
Club Baron,music venue,http://base.semlab.io/entity/Q18846
Club 845,music venue,http://base.semlab.io/entity/Q18845
Count Basie,person,http://base.semlab.io/entity/Q72
Art Blakey,person,http://base.semlab.io/entity/Q281
Tommy Flanagan,person,http://base.semlab.io/entity/Q898
Benny Golson,person,http://base.semlab.io/entity/Q295
Miles Davis,person,http://base.semlab.io/entity/Q41
Ron Carter,person,http://base.semlab.io/entity/Q45
Jimmy Cobb,person,http://base.semlab.io/entity/Q924
Betty Carter,person,http://base.semlab.io/entity/Q102
J.J. Johnson,person,http://base.semlab.io/entity/Q1090
Lionel Hampton,person,http://base.semlab.io/entity/Q39
Cannonball Adderley,person,http://base.semlab.io/entity/Q777
Pee Wee Marquette,person,http://base.semlab.io/entity/Q1999
Harry “Sweets” Edison,person,http://base.semlab.io/entity/Q979
The Jazztet,music group,http://base.semlab.io/entity/Q18826
Roy Haynes Quartet,music group,http://base.semlab.io/entity/Q18820
Rudy Van Gelder,person,http://base.semlab.io/entity/Q294
Palladium,music venue,http://base.semlab.io/entity/Q18867
Jitu Weusi,person,http://base.semlab.io/entity/Q18967
Jim Harrison,person,http://base.semlab.io/entity/Q18964
Nat White,person,http://base.semlab.io/entity/Q18999
Armando Peraza,person,http://base.semlab.io/entity/Q18917
Tito Puente,person,http://base.semlab.io/entity/Q165
Machito,person,http://base.semlab.io/entity/Q192
Hank Mobley,person,http://base.semlab.io/entity/Q944
