Willoughby Temple,music venue,http://base.semlab.io/entity/Q18910

Willard Jenkins,person,http://base.semlab.io/entity/Q19038

Crescent Lounge,music venue,http://base.semlab.io/entity/Q18849

Ed Stoute,person,http://base.semlab.io/entity/Q18941

Jimmy Morton,person,http://base.semlab.io/entity/Q18966

The Happy Landing,music venue,http://base.semlab.io/entity/Q18888

Miles Davis,person,http://base.semlab.io/entity/Q41

The Berry Brothers,music venue,http://base.semlab.io/entity/Q18824

Reggie Workman,person,http://base.semlab.io/entity/Q1403

Town & Country,music venue,http://base.semlab.io/entity/Q18899

Club 243,music venue,http://base.semlab.io/entity/Q18844

The Carroll Bar,music venue,http://base.semlab.io/entity/Q18842

The Monaco,music venue,http://base.semlab.io/entity/Q18893

Sam Pinn,person,http://base.semlab.io/entity/Q19021

James Sykes,person,http://base.semlab.io/entity/Q18958

Lucky Emmett,person,http://base.semlab.io/entity/Q18988

Joe Knight,person,http://base.semlab.io/entity/Q18970

Eddie Hamilton,person,http://base.semlab.io/entity/Q18940

The Id,music venue,http://base.semlab.io/entity/Q18890

Clifford Jordan,person,http://base.semlab.io/entity/Q63

Cedar Walton,person,http://base.semlab.io/entity/Q1365

Billy Higgins,person,http://base.semlab.io/entity/Q204

Sam Jones,person,http://base.semlab.io/entity/Q1759

Wishco Manor,music venue,http://base.semlab.io/entity/Q18911

Verona Café,music venue,http://base.semlab.io/entity/Q18905

Randy Weston,person,http://base.semlab.io/entity/Q657

Don Byas,person,http://base.semlab.io/entity/Q469

Leonard Hawkins,person,http://base.semlab.io/entity/Q18984

Farmer John’s,music venue,http://base.semlab.io/entity/Q18851

K & C Lounge,music venue,http://base.semlab.io/entity/Q18859

Gil Coggins,person,http://base.semlab.io/entity/Q18950

Moulin Rouge,music venue,http://base.semlab.io/entity/Q18866

Red Garland,person,http://base.semlab.io/entity/Q660

78 Club,music venue,http://base.semlab.io/entity/Q18827

The Continental,music venue,http://base.semlab.io/entity/Q18884

The Blue Coronet,music venue,http://base.semlab.io/entity/Q18834

The East,music venue,http://base.semlab.io/entity/Q18885

The Muse,music venue,http://base.semlab.io/entity/Q18894

Putnam Central,music venue,http://base.semlab.io/entity/Q18871

Tony’s Grand Dean,music venue,http://base.semlab.io/entity/Q18898

Baby Grand Brooklyn,music venue,http://base.semlab.io/entity/Q18830

