Entity, RDF Type, URI
Willard Jenkins,person,http://base.semlab.io/entity/Q19038
Max Roach,person,http://base.semlab.io/entity/Q66
Jimmy Morton,person,http://base.semlab.io/entity/Q18966
Miles Davis,person,http://base.semlab.io/entity/Q41
Robin Kelley,person,http://base.semlab.io/entity/Q19015
"Fred Braithwaite, Sr.",person,http://base.semlab.io/entity/Q18947
Fab Five Freddy,person,http://base.semlab.io/entity/Q18945
Thelonious Monk,person,http://base.semlab.io/entity/Q71
Willie Jones,person,http://base.semlab.io/entity/Q19039
Jimmy Gittens,person,http://base.semlab.io/entity/Q18965
Kenny G,person,http://base.semlab.io/entity/Q18977
Clifford Brown,person,http://base.semlab.io/entity/Q370
Richie Powell,person,http://base.semlab.io/entity/Q2005
Ed Beach,person,http://base.semlab.io/entity/Q18938
Randy Weston,person,http://base.semlab.io/entity/Q657
Charles Mingus,person,http://base.semlab.io/entity/Q90
Nellie Monk,person,http://base.semlab.io/entity/Q19000
Malcolm X,person,http://base.semlab.io/entity/Q1432
Sarah Vaughan,person,http://base.semlab.io/entity/Q93
Nancy Wilson,person,http://base.semlab.io/entity/Q85
Dinah Washington,person,http://base.semlab.io/entity/Q61
Etta Jones,person,http://base.semlab.io/entity/Q18944
Deborah Harry,person,http://base.semlab.io/entity/Q18921
Gene Krupa,person,http://base.semlab.io/entity/Q141
James Brown,person,http://base.semlab.io/entity/Q126
Louis Armstrong,person,http://base.semlab.io/entity/Q101
Will Smith,person,http://base.semlab.io/entity/Q19037
Run D.M.C.,music group,http://base.semlab.io/entity/Q18821
Charles Parker,person,http://base.semlab.io/entity/Q13
Tony's Grand Dean,music venue,http://base.semlab.io/entity/Q18898
Putnam Central,music venue,http://base.semlab.io/entity/Q18871
Tupac,person,http://base.semlab.io/entity/Q19030
Snoop Dogg,person,http://base.semlab.io/entity/Q19024
The Kitchen NYC,music venue,http://base.semlab.io/entity/Q18892
Jean Michel Basquiat,person,http://base.semlab.io/entity/Q18961
Lefty Morris,person,http://base.semlab.io/entity/Q18982
Max Roach-Clifford Brown Quintet,music group,http://base.semlab.io/entity/Q18834
Blue Coronet,music venue,http://base.semlab.io/entity/Q20530
Baby Grand Brooklyn,music venue,http://base.semlab.io/entity/Q18830
Babatunde Olatunji,person,http://base.semlab.io/entity/Q18995
Brooklyn,borough,http://base.semlab.io/entity/Q18808
