batch,sort,QID,PROPERTY,VALUE, admin note,date enhanced,method,note
1,52,Q1691,P8,"""Q3286414""",add wikidata QID for Manolito Simonet,4/1/2020,manual,
1,53,Q1691,P9,https://www.wikidata.org/wiki/Q3286414,add wikidata URI for Manolito Simonet,4/1/2020,manual,
1,54,Q177,P11,Q18807,associate Linking Lost Jazz Shrines project with Chick Webb,4/1/2020,manual,
1,55,Q1909,Aen,"""Rahsaan Roland Kirk""",add alias for Roland Kirk,4/1/2020,manual,
1,56,Q1953,P11,Q18807,associate Linking Lost Jazz Shrines project with Booker Ervin,4/1/2020,manual,
1,57,Q1992,P8,"""Q15440571""",add wikidata QID for Vi Burnside,4/1/2020,manual,
1,58,Q1992,P9,https://www.wikidata.org/wiki/Q15440571,add wikidata URI for Vi Burnside,4/1/2020,manual,
1,59,Q2017,P8,"""Q4772158""",add wikidata QID for Anthony Brown,4/1/2020,manual,
1,60,Q2017,P9,https://www.wikidata.org/wiki/Q4772158,add wikidata URI for Anthony Brown,4/1/2020,manual,
1,61,Q2018,P8,"""Q1691660""",add wikidata QID for Joe Williams,4/1/2020,manual,
1,62,Q2018,P9,https://www.wikidata.org/wiki/Q1691660,add wikidata URI for Joe Williams,4/1/2020,manual,
1,63,Q2019,P8,"""Q769600""",add wikidata QID for Ted Gioia,4/1/2020,manual,
1,64,Q2019,P9,https://www.wikidata.org/wiki/Q769600,add wikidata URI for Ted Gioia,4/1/2020,manual,
1,65,Q204,P11,Q18807,associate Linking Lost Jazz Shrines project with Billy Higgins,4/1/2020,manual,
1,66,Q24,P11,Q18807,associate Linking Lost Jazz Shrines project with Coleman Hawkins,4/1/2020,manual,
1,67,Q281,P11,Q18807,associate Linking Lost Jazz Shrines project with Art Blakey,4/1/2020,manual,
1,68,Q295,P11,Q18807,associate Linking Lost Jazz Shrines project with Benny Golson,4/1/2020,manual,
1,69,Q304,P11,Q18807,associate Linking Lost Jazz Shrines project with Andy Kirk,4/1/2020,manual,
1,70,Q311,P11,Q18807,associate Linking Lost Jazz Shrines project with Dave Brubeck,4/1/2020,manual,
1,71,Q313,P8,"""Q1346345""",add wikidata QID for Galt McDermott,4/1/2020,manual,
1,72,Q313,P9,https://www.wikidata.org/wiki/Q1346345,add wikidata URI for Galt McDermott,4/1/2020,manual,
1,73,Q319,P8,"""Q29913762""",add wikidata QID for Bill Jennings,4/1/2020,manual,
1,74,Q319,P9,https://www.wikidata.org/wiki/Q29913762,add wikidata URI for Bill Jennings,4/1/2020,manual,
1,75,Q326,P8,"""Q232395""",add wikidata QID for Esther Williams,4/1/2020,manual,
1,76,Q326,P9,https://www.wikidata.org/wiki/Q232395,add wikidata URI for Esther Williams,4/1/2020,manual,
1,77,Q35,P11,Q18807,associate Linking Lost Jazz Shrines project with Dizzy Gillespie,4/1/2020,manual,
1,78,Q359,P8,"""Q1283786""",add wikidata QID for Edgar Bateman,4/1/2020,manual,
1,79,Q359,P9,https://www.wikidata.org/wiki/Q1283786,add wikidata URI for Edgar Bateman,4/1/2020,manual,
1,80,Q370,P11,Q18807,associate Linking Lost Jazz Shrines project with Clifford Brown,4/1/2020,manual,
1,81,Q391,Aen,"""Argonne Thornton""",add alias for Sadik Hakim,4/1/2020,manual,
1,82,Q395,Aen,"""Marvin Smith""","add alias for Marvin ""Smitty"" Smith",4/1/2020,manual,
1,83,Q395,Aen,"""Smitty Smith""","add alias for Marvin ""Smitty"" Smith",4/1/2020,manual,
1,84,Q403,P8,"""Q28017793""",add wikidata QID for Shorty McConnell,4/1/2020,manual,
1,85,Q403,P9,https://www.wikidata.org/wiki/Q28017793,add wikidata URI for Shorty McConnell,4/1/2020,manual,
1,86,Q43,P11,Q18807,associate Linking Lost Jazz Shrines project with Billie Holiday,4/1/2020,manual,
1,87,Q456,P8,"""Q52376165""",add wikidata QID for Lee Richardson,4/1/2020,manual,
1,88,Q456,P9,https://www.wikidata.org/wiki/Q52376165,add wikidata URI for Lee Richardson,4/1/2020,manual,
1,89,Q469,P11,Q18807,associate Linking Lost Jazz Shrines project with Don Byas,4/1/2020,manual,
1,90,Q471,P11,Q18807,associate Linking Lost Jazz Shrines project with Andrew Cyrille,4/1/2020,manual,
1,91,Q540,P8,"""Q13410379""",add wikidata QID for Howard Brubeck,4/1/2020,manual,
1,92,Q540,P9,https://www.wikidata.org/wiki/Q13410379,add wikidata URI for Howard Brubeck,4/1/2020,manual,
1,93,Q551,P8,"""Q3527947""",add wikidata QID for Ron Crotty,4/1/2020,manual,
1,94,Q551,P9,https://www.wikidata.org/wiki/Q3527947,add wikidata URI for Ron Crotty,4/1/2020,manual,
1,95,Q555,P8,"""Q16509493""",add wikidata QID for Herb Wong,4/1/2020,manual,
1,96,Q555,P9,https://www.wikidata.org/wiki/Q16509493,add wikidata URI for Herb Wong,4/1/2020,manual,
1,97,Q566,P11,Q18807,associate Linking Lost Jazz Shrines project with Carmen McRae,4/1/2020,manual,
1,98,Q61,P11,Q18807,associate Linking Lost Jazz Shrines project with Dinah Washington,4/1/2020,manual,
1,99,Q62,P8,"""Q449211""",add wikidata QID for Alvin Queen,4/1/2020,manual,
1,100,Q62,P9,https://www.wikidata.org/wiki/Q449211,add wikidata URI for Alvin Queen,4/1/2020,manual,
1,101,Q63,P11,Q18807,associate Linking Lost Jazz Shrines project with Clifford Jordan,4/1/2020,manual,
1,102,Q661,P11,Q18807,associate Linking Lost Jazz Shrines project with Art Farmer,4/1/2020,manual,
1,103,Q663,Aen,"""Locksley Wellington Hampton""",add alias for Slide Hampton,4/1/2020,manual,
1,104,Q663,Aen,"""Locksley Wellington ""Slide"" Hampton""",add alias for Slide Hampton,4/1/2020,manual,
1,105,Q665,P11,Q18807,associate Linking Lost Jazz Shrines project with Ahmad Jamal,4/1/2020,manual,
1,106,Q687,P8,"""Q42148151""",add wikidata QID for Sam Marowitz,4/1/2020,manual,
1,107,Q687,P9,https://www.wikidata.org/wiki/Q42148151,add wikidata URI for Sam Marowitz,4/1/2020,manual,
1,108,Q69,P8,"""Q2438397""",add wikidata QID for Todd Barkan,4/1/2020,manual,
1,109,Q69,P9,https://www.wikidata.org/wiki/Q2438397,add wikidata URI for Todd Barkan,4/1/2020,manual,
1,110,Q692,P8,"""Q15439828""",add wikidata QID for Don Stratton,4/1/2020,manual,
1,111,Q692,P9,https://www.wikidata.org/wiki/Q15439828,add wikidata URI for Don Stratton,4/1/2020,manual,
1,112,Q70,Aen,"""Jimmy Scott""",add alias for Little Jimmy Scott,4/1/2020,manual,
1,113,Q714,P8,"""Q15440305""",add wikidata QID for Hal Serra,4/1/2020,manual,
1,114,Q714,P9,https://www.wikidata.org/wiki/Q15440305,add wikidata URI for Hal Serra,4/1/2020,manual,
1,115,Q72,P11,Q18807,associate Linking Lost Jazz Shrines project with Count Basie,4/1/2020,manual,
1,116,Q730,P8,"""Q18616644""",add wikidata QID for Benny Payne,4/1/2020,manual,
1,117,Q730,P9,https://www.wikidata.org/wiki/Q18616644,add wikidata URI for Benny Payne,4/1/2020,manual,
1,118,Q732,P8,"""Q27881242""",add wikidata QID for Mona Hinton,4/1/2020,manual,
1,119,Q732,P9,https://www.wikidata.org/wiki/Q27881242,add wikidata URI for Mona Hinton,4/1/2020,manual,
1,120,Q777,Aen,"""Julian Edwin ""Cannonball"" Adderley""",add alias for Cannonball Adderley,4/1/2020,manual,
1,121,Q777,Aen,"""Julian Edwin Adderley""",add alias for Cannonball Adderley,4/1/2020,manual,
1,122,Q777,P11,Q18807,associate Linking Lost Jazz Shrines project with Cannonball Adderley,4/1/2020,manual,
1,123,Q794,P11,Q18807,associate Linking Lost Jazz Shrines project with Bob Cranshaw,4/1/2020,manual,
1,124,Q80,P8,"""Q20020501""",add wikidata QID for Howard Biggs,4/1/2020,manual,
1,125,Q80,P9,https://www.wikidata.org/wiki/Q20020501,add wikidata URI for Howard Biggs,4/1/2020,manual,
