batch, admin sort,QID,PROPERTY,VALUE, admin note,QID,date enhanced,method
1,76,Q18866,Len,"""Moulin Rouge""",add label,Q18866,4/3/2020,manual
1,77,Q18867,Len,"""Palladium""",add label,Q18867,4/3/2020,manual
1,78,Q18868,Len,"""Paul's""",add label,Q18868,4/3/2020,manual
1,79,Q18869,Len,"""Pookie’s""",add label,Q18869,4/3/2020,manual
1,80,Q18869,Aen,"""Pookies""",add alias,Q18869,4/3/2020,manual
1,81,Q18870,Len,"""Pumpkin's""",add label,Q18870,4/3/2020,manual
1,82,Q18871,Len,"""Putnam Central""",add label,Q18871,4/3/2020,manual
1,83,Q18871,Aen,"""PCC""",add alias,Q18871,4/3/2020,manual
1,84,Q18872,Len,"""Putnam Theater""",add label,Q18872,4/3/2020,manual
1,85,Q18873,Len,"""Rustic Tavern""",add label,Q18873,4/3/2020,manual
1,86,Q18874,Len,"""Sankofa""",add label,Q18874,4/3/2020,manual
1,87,Q18875,Len,"""Savoy Ballroom""",add label,Q18875,4/3/2020,manual
1,88,Q18876,Len,"""Sista's Place""",add label,Q18876,4/3/2020,manual
1,89,Q18877,Len,"""Slave Theater""",add label,Q18877,4/3/2020,manual
1,90,Q18878,Len,"""Slug's""",add label,Q18878,4/3/2020,manual
1,91,Q18878,Aen,"""Slugs""",add alias,Q18878,4/3/2020,manual
1,92,Q18879,Len,"""Smuckers""",add label,Q18879,4/3/2020,manual
1,93,Q18880,Len,"""Solomon’s Porch""",add label,Q18880,4/3/2020,manual
1,94,Q18881,Len,"""Sonya Ballroom""",add label,Q18881,4/3/2020,manual
1,95,Q18881,Aen,"""Sonia Ballroom""",add alias,Q18881,4/3/2020,manual
1,96,Q18881,Aen,"""Akbar Hall""",add alias,Q18881,4/3/2020,manual
1,97,Q18882,Len,"""St. Nick's Pub""",add label,Q18882,4/3/2020,manual
1,98,Q18883,Len,"""Sugar Hill""",add label,Q18883,4/3/2020,manual
1,99,Q18883,Aen,"""Sugar Hill Restaurant""",add alias,Q18883,4/3/2020,manual
1,100,Q18884,Len,"""The Continental""",add label,Q18884,4/3/2020,manual
1,101,Q18885,Len,"""The East""",add label,Q18885,4/3/2020,manual
1,102,Q18886,Len,"""The Elks Club""",add label,Q18886,4/3/2020,manual
1,103,Q18886,Aen,"""Elks Club""",add alias,Q18886,4/3/2020,manual
1,104,Q18886,Aen,"""Elks Hall""",add alias,Q18886,4/3/2020,manual
1,105,Q18887,Len,"""The Fantasy""",add label,Q18887,4/3/2020,manual
1,106,Q18888,Len,"""The Happy Landing""",add label,Q18888,4/3/2020,manual
1,107,Q18889,Len,"""The Hole""",add label,Q18889,4/3/2020,manual
1,108,Q18890,Len,"""The Id""",add label,Q18890,4/3/2020,manual
1,109,Q18891,Len,"""The Jazz Spot""",add label,Q18891,4/3/2020,manual
1,110,Q18892,Len,"""The Kitchen NYC""",add label,Q18892,4/3/2020,manual
1,111,Q18892,Aen,"""The Kitchen""",add alias,Q18892,4/3/2020,manual
1,112,Q18893,Len,"""The Monaco""",add label,Q18893,4/3/2020,manual
1,113,Q18894,Len,"""The Muse""",add label,Q18894,4/3/2020,manual
1,114,Q18894,Aen,"""New Muse""",add alias,Q18894,4/3/2020,manual
1,115,Q18895,Len,"""The Vanguard""",add label,Q18895,4/3/2020,manual
1,116,Q18896,Len,"""Tiffany Lounge""",add label,Q18896,4/3/2020,manual
1,117,Q18897,Len,"""Tip Top Inn""",add label,Q18897,4/3/2020,manual
1,118,Q18897,Aen,"""Tip Top""",add alias,Q18897,4/3/2020,manual
1,119,Q18898,Len,"""Tony's Grand Dean""",add label,Q18898,4/3/2020,manual
1,120,Q18898,Aen,"""Tony's""",add alias,Q18898,4/3/2020,manual
1,121,Q18899,Len,"""Town & Country""",add label,Q18899,4/3/2020,manual
1,122,Q18900,Len,"""Town Hill""",add label,Q18900,4/3/2020,manual
1,123,Q18901,Len,"""Turbo Village""",add label,Q18901,4/3/2020,manual
1,124,Q18901,Aen,"""Rusty's Turbo Village""",add alias,Q18901,4/3/2020,manual
1,125,Q18901,Aen,"""Rusty's Village""",add alias,Q18901,4/3/2020,manual
1,126,Q18901,Aen,"""Turbo's Village""",add alias,Q18901,4/3/2020,manual
1,127,Q18902,Len,"""Two Steps Down""",add label,Q18902,4/3/2020,manual
1,128,Q18903,Len,"""Up Over Jazz Café""",add label,Q18903,4/3/2020,manual
1,129,Q18903,Aen,"""Up Over Jazz Cafe""",add alias,Q18903,4/3/2020,manual
1,130,Q18904,Len,"""Valhalla""",add label,Q18904,4/3/2020,manual
1,131,Q18905,Len,"""Verona Café""",add label,Q18905,4/3/2020,manual
1,132,Q18905,Aen,"""Verona Cafe""",add alias,Q18905,4/3/2020,manual
1,133,Q18905,Aen,"""Café Verona""",add alias,Q18905,4/3/2020,manual
1,134,Q18905,Aen,"""Cafe Verona""",add alias,Q18905,4/3/2020,manual
1,135,Q18906,Len,"""Village Gate""",add label,Q18906,4/3/2020,manual
1,136,Q18906,Den,"""nightclub""",add description,Q18906,4/3/2020,manual
1,137,Q18907,Len,"""Wells""",add label,Q18907,4/3/2020,manual
1,138,Q18908,Len,"""West End Cafe""",add label,Q18908,4/3/2020,manual
1,139,Q18908,Aen,"""West End Café""",add alias,Q18908,4/3/2020,manual
1,140,Q18909,Len,"""Williamsburg Music Center""",add label,Q18909,4/3/2020,manual
1,141,Q18910,Len,"""Willoughby Temple""",add label,Q18910,4/3/2020,manual
1,142,Q18910,Aen,"""The Universal Temple""",add alias,Q18910,4/3/2020,manual
1,143,Q18911,Len,"""Wishco Manor""",add label,Q18911,4/3/2020,manual
1,144,Q18912,Len,"""Ahmed Abdul-Malik""",add label,Q18912,4/3/2020,manual
1,145,Q18913,Len,"""Ahmed Abdullah""",add label,Q18913,4/3/2020,manual
1,146,Q18914,Len,"""Al Plank""",add label,Q18914,4/3/2020,manual
1,147,Q18915,Len,"""Alma Carroll""",add label,Q18915,4/3/2020,manual
1,148,Q18916,Len,"""Andre Strobert""",add label,Q18916,4/3/2020,manual
1,149,Q18917,Len,"""Armando Peraza""",add label,Q18917,4/3/2020,manual
1,150,Q18918,Len,"""Ben Holliman""",add label,Q18918,4/3/2020,manual
1,151,Q18919,Len,"""Bernice Brooks""",add label,Q18919,4/3/2020,manual
1,152,Q18920,Len,"""Bill Rutherford""",add label,Q18920,4/3/2020,manual
1,152.5,Q18921,Len,"""Deborah Harry""",add label,Q18921,4/3/2020,manual
1,153,Q18921,Aen,"""Blondie""",add label,Q18921,4/3/2020,manual
1,154,Q18922,Len,"""Bob Cunningham""",add label,Q18922,4/3/2020,manual
1,155,Q18923,Len,"""Bob Meyers""",add label,Q18923,4/3/2020,manual
1,156,Q18924,Len,"""Bobby Timmons""",add label,Q18924,4/3/2020,manual
1,157,Q18925,Len,"""Buddy Williams""",add label,Q18925,4/3/2020,manual
1,158,Q18926,Len,"""Burt Keyes""",add label,Q18926,4/3/2020,manual
1,159,Q18927,Len,"""Cannon Miller""",add label,Q18927,4/3/2020,manual
1,160,Q18928,Len,"""Carlos ""Patato"" Valdes""",add label,Q18928,4/3/2020,manual
1,161,Q18928,Aen,"""Carlos Valdes""",add alias,Q18928,4/3/2020,manual
1,162,Q18928,Aen,"""Patato""",add alias,Q18928,4/3/2020,manual
1,163,Q18929,Len,"""Carlos Garnett""",add label,Q18929,4/3/2020,manual
1,164,Q18930,Len,"""Cecil Bolden""",add label,Q18930,4/3/2020,manual
1,165,Q18931,Len,"""Cecil Payne""",add label,Q18931,4/3/2020,manual
1,166,Q18932,Len,"""Chief Bey""",add label,Q18932,4/3/2020,manual
1,167,Q18932,Aen,"""James Hawthorne Bey""",add alias,Q18932,4/3/2020,manual
1,168,Q18933,Len,"""Clifford Jarvis""",add label,Q18933,4/3/2020,manual
1,169,Q18934,Len,"""Curtis Mayfield""",add label,Q18934,4/3/2020,manual
1,170,Q18935,Len,"""Enos Payne""",add label,Q18935,4/3/2020,manual
1,171,Q18936,Len,"""Donald Sangster""",add label,Q18936,4/3/2020,manual
1,172,Q18937,Len,"""Doug Carn""",add label,Q18937,4/3/2020,manual
1,173,Q18938,Len,"""Ed Beach""",add label,Q18938,4/3/2020,manual
1,174,Q18939,Len,"""Eddie Freeman""",add label,Q18939,4/3/2020,manual
1,175,Q18940,Len,"""Eddie Hamilton""",add label,Q18940,4/3/2020,manual
1,176,Q18941,Len,"""Edwin Stoute""",add label,Q18941,4/3/2020,manual
