batch, admin sort,QID,PROPERTY,VALUE, admin note,date enhanced,method
1,62,Q1050,P9,https://www.wikidata.org/wiki/Q3035718,add wikidata URI for Don Baker,4/1/2020,manual
1,63,Q1142,P9,https://www.wikidata.org/wiki/Q3388696,add wikidata URI for Piney Brown,4/1/2020,manual
1,64,Q1148,P9,https://www.wikidata.org/wiki/Q20761044,add wikidata URI for Milton Orent,4/1/2020,manual
1,65,Q1159,P9,https://www.wikidata.org/wiki/Q15804079,add wikidata URI for Theodore Bennett,4/1/2020,manual
1,66,Q1189,P9,https://www.wikidata.org/wiki/Q647445,add wikidata URI for Hugues Panassie,4/1/2020,manual
1,67,Q1266,P9,https://www.wikidata.org/wiki/Q83326,add wikidata URI for Bela Bartok,4/1/2020,manual
1,68,Q1558,P9,https://www.wikidata.org/wiki/Q66732612,add wikidata URI for Theodore Purnell,4/1/2020,manual
1,69,Q1455,P9,https://www.wikidata.org/wiki/Q153432,add wikidata URI for Maurice Andre,4/1/2020,manual
1,70,Q2017,P9,https://www.wikidata.org/wiki/Q4772158,add wikidata URI for Anthony Brown,4/1/2020,manual
1,71,Q2018,P9,https://www.wikidata.org/wiki/Q1691660,add wikidata URI for Joe Williams,4/1/2020,manual
1,72,Q2019,P9,https://www.wikidata.org/wiki/Q769600,add wikidata URI for Ted Gioia,4/1/2020,manual
1,73,Q1386,P11,Q18807,associate Linking Lost Jazz Shrines project with Abbey Lincoln,4/1/2020,manual
1,74,Q665,P11,Q18807,associate Linking Lost Jazz Shrines project with Ahmad Jamal,4/1/2020,manual
1,75,Q1146,P11,Q18807,associate Linking Lost Jazz Shrines project with Alvin Ailey,4/1/2020,manual
1,76,Q471,P11,Q18807,associate Linking Lost Jazz Shrines project with Andrew Cyrille,4/1/2020,manual
1,77,Q304,P11,Q18807,associate Linking Lost Jazz Shrines project with Andy Kirk,4/1/2020,manual
1,78,Q831,P11,Q18807,associate Linking Lost Jazz Shrines project with Arnett Cobb,4/1/2020,manual
1,79,Q281,P11,Q18807,associate Linking Lost Jazz Shrines project with Art Blakey,4/1/2020,manual
1,80,Q661,P11,Q18807,associate Linking Lost Jazz Shrines project with Art Farmer,4/1/2020,manual
1,81,Q1009,P11,Q18807,associate Linking Lost Jazz Shrines project with Barry Harris,4/1/2020,manual
1,82,Q295,P11,Q18807,associate Linking Lost Jazz Shrines project with Benny Golson,4/1/2020,manual
1,83,Q102,P11,Q18807,associate Linking Lost Jazz Shrines project with Betty Carter,4/1/2020,manual
1,84,Q95,P11,Q18807,associate Linking Lost Jazz Shrines project with Big Maybelle,4/1/2020,manual
1,85,Q1580,P11,Q18807,associate Linking Lost Jazz Shrines project with Bill Doggett,4/1/2020,manual
1,86,Q43,P11,Q18807,associate Linking Lost Jazz Shrines project with Billie Holiday,4/1/2020,manual
1,87,Q204,P11,Q18807,associate Linking Lost Jazz Shrines project with Billy Higgins,4/1/2020,manual
1,88,Q819,P11,Q18807,associate Linking Lost Jazz Shrines project with Blue Mitchell,4/1/2020,manual
1,89,Q794,P11,Q18807,associate Linking Lost Jazz Shrines project with Bob Cranshaw,4/1/2020,manual
1,90,Q1953,P11,Q18807,associate Linking Lost Jazz Shrines project with Booker Ervin,4/1/2020,manual
1,91,Q1423,P11,Q18807,associate Linking Lost Jazz Shrines project with Booker Little,4/1/2020,manual
1,92,Q777,P11,Q18807,associate Linking Lost Jazz Shrines project with Cannonball Adderley,4/1/2020,manual
1,93,Q566,P11,Q18807,associate Linking Lost Jazz Shrines project with Carmen McRae,4/1/2020,manual
1,94,Q1381,P11,Q18807,associate Linking Lost Jazz Shrines project with Cassandra Wilson,4/1/2020,manual
1,95,Q1365,P11,Q18807,associate Linking Lost Jazz Shrines project with Cedar Walton,4/1/2020,manual
1,96,Q90,P11,Q18807,associate Linking Lost Jazz Shrines project with Charles Mingus,4/1/2020,manual
1,97,Q13,P11,Q18807,associate Linking Lost Jazz Shrines project with Charlie Parker,4/1/2020,manual
1,98,Q177,P11,Q18807,associate Linking Lost Jazz Shrines project with Chick Webb,4/1/2020,manual
1,99,Q370,P11,Q18807,associate Linking Lost Jazz Shrines project with Clifford Brown,4/1/2020,manual
1,100,Q63,P11,Q18807,associate Linking Lost Jazz Shrines project with Clifford Jordan,4/1/2020,manual
1,101,Q24,P11,Q18807,associate Linking Lost Jazz Shrines project with Coleman Hawkins,4/1/2020,manual
1,102,Q72,P11,Q18807,associate Linking Lost Jazz Shrines project with Count Basie,4/1/2020,manual
1,103,Q973,P11,Q18807,associate Linking Lost Jazz Shrines project with Dakota Staton,4/1/2020,manual
1,104,Q311,P11,Q18807,associate Linking Lost Jazz Shrines project with Dave Brubeck,4/1/2020,manual
1,105,Q117,P11,Q18807,associate Linking Lost Jazz Shrines project with Dexter Gordon,4/1/2020,manual
1,106,Q61,P11,Q18807,associate Linking Lost Jazz Shrines project with Dinah Washington,4/1/2020,manual
1,107,Q35,P11,Q18807,associate Linking Lost Jazz Shrines project with Dizzy Gillespie,4/1/2020,manual
1,108,Q469,P11,Q18807,associate Linking Lost Jazz Shrines project with Don Byas,4/1/2020,manual
1,109,Q127,P11,Q18807,associate Linking Lost Jazz Shrines project with Ella Fitzgerald,4/1/2020,manual
1,110,Q205,P11,Q18807,associate Linking Lost Jazz Shrines project with Elvin Jones,4/3/2020,manual
1,111,Q347,P11,Q18807,associate Linking Lost Jazz Shrines project with Eubie Blake,4/3/2020,manual
1,112,Q1463,P11,Q18807,associate Linking Lost Jazz Shrines project with Fats Domino,4/3/2020,manual
1,113,Q346,P11,Q18807,associate Linking Lost Jazz Shrines project with Frank Sinatra,4/3/2020,manual
1,114,Q436,P11,Q18807,associate Linking Lost Jazz Shrines project with Frank Strozier,4/3/2020,manual
1,115,Q934,P11,Q18807,associate Linking Lost Jazz Shrines project with Freddie Hubbard,4/3/2020,manual
1,116,Q141,P11,Q18807,associate Linking Lost Jazz Shrines project with Gene Krupa,4/3/2020,manual
1,117,Q501,P11,Q18807,associate Linking Lost Jazz Shrines project with George Coleman,4/3/2020,manual
1,118,Q284,P11,Q18807,associate Linking Lost Jazz Shrines project with George Shearing,4/3/2020,manual
1,119,Q9,P11,Q18807,associate Linking Lost Jazz Shrines project with Gigi Gryce,4/3/2020,manual
1,120,Q420,P11,Q18807,associate Linking Lost Jazz Shrines project with Gloria Lynne,4/3/2020,manual
1,121,Q944,P11,Q18807,associate Linking Lost Jazz Shrines project with Hank Mobley,4/3/2020,manual
