batch,internal sort,Correction,Reference,Notes,date corrected
1,1,Thelonious Monk (Q71) dupe of Thelonius Monk (Q342),,Q71 spelled correctly // Q342 spelled incorrectly; Q71 has DBpedia URI // Q342 has LOC URI; Two separate different images (both valid),
1,2,"Kenny Durham (Q1103) s/b ""Kenny Dorham""",https://www.wikidata.org/wiki/Q498729,,3/31/2020
