Sort,Subject,URI
1,Willard Jenkins,http://base.semlab.io/entity/Q19038
2,James Spaulding,http://base.semlab.io/entity/Q18957
3,The Blue Coronet,http://base.semlab.io/entity/Q18834
4,The Continental,http://base.semlab.io/entity/Q18884
5,Cassandra Wilson,http://base.semlab.io/entity/Q1381
6,The Happy Landing,http://base.semlab.io/entity/Q18888
7,Joe Louis,http://base.semlab.io/entity/Q746
8,Carlos Garnett,http://base.semlab.io/entity/Q18929
9,Freddie Hubbard,http://base.semlab.io/entity/Q934
10,Dexter Gordon,http://base.semlab.io/entity/Q117
11,Lee Morgan,http://base.semlab.io/entity/Q959
12,J.J. Johnson,http://base.semlab.io/entity/Q1090
13,The East,http://base.semlab.io/entity/Q18885
14,Sonny Stitt,http://base.semlab.io/entity/Q448
15,Baby Grand Brooklyn,http://base.semlab.io/entity/Q18830
16,Club La Marchal,http://base.semlab.io/entity/Q18847
17,Art Blakey,http://base.semlab.io/entity/Q281
18,Orville O'Brien,http://base.semlab.io/entity/Q19002
19,Harold Mabern,http://base.semlab.io/entity/Q18954
20,Bob Cunningham,http://base.semlab.io/entity/Q18922
21,Lenny White,http://base.semlab.io/entity/Q468
22,Michael Ridley,http://base.semlab.io/entity/Q18997
23,Larry Ridley,http://base.semlab.io/entity/Q18981
24,Randy Weston,http://base.semlab.io/entity/Q657
25,Max Roach,http://base.semlab.io/entity/Q66
26,Jitu Weusi,http://base.semlab.io/entity/Q18967
27,Up Over Jazz Cafu00e9,http://base.semlab.io/entity/Q18903
28,Sista's Place,http://base.semlab.io/entity/Q18876
29,"Clarke, John Henrik, 1915-1998",https://id.loc.gov/authorities/n50038518
30,"King, Martin Luther, Jr., 1929-1968",http://id.loc.gov/authorities/names/n79084324
31,"Queens (New York, N.Y.)",https://id.loc.gov/authorities/n81047346
32,Livingston College,http://id.loc.gov/authorities/names/n85353652
33,The Night of the Cookers (performance),
34,Brooklyn,http://base.semlab.io/entity/Q18808
35,"Bedford-Stuyvesant (New York, N.Y.)",http://id.loc.gov/authorities/names/n91082771
36,Jazz,http://id.loc.gov/authorities/subjects/sh85069833
37,Jazz musicians,http://id.loc.gov/authorities/subjects/sh85069835
38,African American jazz musicians,http://id.loc.gov/authorities/subjects/sh2001006683
