Sort,Subject,URI
1,Willard Jenkins,http://base.semlab.io/entity/Q19038
2,Max Roach,http://base.semlab.io/entity/Q66
3,Jimmy Morton,http://base.semlab.io/entity/Q18966
4,Miles Davis,http://base.semlab.io/entity/Q41
5,Robin Kelley,http://base.semlab.io/entity/Q19015
6,"Fred Braithwaite, Sr.",http://base.semlab.io/entity/Q18947
7,Fab Five Freddy,http://base.semlab.io/entity/Q18945
8,Thelonious Monk,http://base.semlab.io/entity/Q71
9,Willie Jones,http://base.semlab.io/entity/Q19039
10,Jimmy Gittens,http://base.semlab.io/entity/Q18965
11,Kenny G,http://base.semlab.io/entity/Q18977
12,Clifford Brown,http://base.semlab.io/entity/Q370
13,Richie Powell,http://base.semlab.io/entity/Q2005
14,Ed Beach,http://base.semlab.io/entity/Q18938
15,Randy Weston,http://base.semlab.io/entity/Q657
16,Charles Mingus ,http://base.semlab.io/entity/Q90
17,Nellie Monk,http://base.semlab.io/entity/Q19000
18,Malcolm X,http://base.semlab.io/entity/Q1432
19,Sarah Vaughan,http://base.semlab.io/entity/Q93
20,Nancy Wilson,http://base.semlab.io/entity/Q85
21,Dinah Washington,http://base.semlab.io/entity/Q61
22,Etta James,http://base.semlab.io/entity/Q824
23,Deborah Harry,http://base.semlab.io/entity/Q18921
24,Gene Krupa,http://base.semlab.io/entity/Q141
25,James Brown,http://base.semlab.io/entity/Q126
26,Louis Armstrong,http://base.semlab.io/entity/Q101
27,Will Smith,http://base.semlab.io/entity/Q19037
28,Run DMC,http://base.semlab.io/entity/Q18821
29,Charles Parker,http://base.semlab.io/entity/Q13
30,Tony's Grand Dean,http://base.semlab.io/entity/Q18898
31,Putnam Central ,http://base.semlab.io/entity/Q18871
32,Tupac ,http://base.semlab.io/entity/Q19030
33,Snoop Dogg ,http://base.semlab.io/entity/Q19024
34,The Kitchen NYC ,http://base.semlab.io/entity/Q18892
35,Jean Michel Basquiat,http://base.semlab.io/entity/Q18961
36,Lefty Morris,http://base.semlab.io/entity/Q18982
37,Blue Coronet ,http://base.semlab.io/entity/Q18834
38,Max Roach-Clifford Brown Quintet,
39,Baby Grand Brooklyn,http://base.semlab.io/entity/Q18830
40,Babatunde Olatunji ,http://base.semlab.io/entity/Q18995
41,Brooklyn,http://base.semlab.io/entity/Q18808
42,Jazz,http://id.loc.gov/authorities/subjects/sh85069833
43,Jazz musicians,http://id.loc.gov/authorities/subjects/sh85069835
44,African American jazz musicians,http://id.loc.gov/authorities/subjects/sh2001006683
