Sort,Subject,URI
1,Willoughby Temple,http://base.semlab.io/entity/Q18910
2,Willard Jenkins,http://base.semlab.io/entity/Q19038
3,Crescent Lounge,http://base.semlab.io/entity/Q18849
4,Ed Stoute,http://base.semlab.io/entity/Q18941
5,Jimmy Morton,http://base.semlab.io/entity/Q18966
6,The Happy Landing,http://base.semlab.io/entity/Q18888
7,Miles Davis,http://base.semlab.io/entity/Q41
8,The Berry Brothers,http://base.semlab.io/entity/Q18824
9,Reggie Workman\t,http://base.semlab.io/entity/Q1403
10,Town & Country,http://base.semlab.io/entity/Q18899
11,Club 243,http://base.semlab.io/entity/Q18844
12,The Carroll Bar,http://base.semlab.io/entity/Q18842
13,The Monaco,http://base.semlab.io/entity/Q18893
14,Sam Pinn,http://base.semlab.io/entity/Q19021
15,James Sykes,http://base.semlab.io/entity/Q18958
16,Lucky Emmett,http://base.semlab.io/entity/Q18988
17,Joe Knight,http://base.semlab.io/entity/Q18970
18,Eddie Hamilton,http://base.semlab.io/entity/Q18940
19,The Id,http://base.semlab.io/entity/Q18890
20,Clifford Jordan,http://base.semlab.io/entity/Q63
21,Cedar Walton,http://base.semlab.io/entity/Q1365
22,Billy Higgins,http://base.semlab.io/entity/Q204
23,Sam Jones,http://base.semlab.io/entity/Q1759
24,Wishco Manor,http://base.semlab.io/entity/Q18911
25,Verona Caf\u00e9,http://base.semlab.io/entity/Q18905
26,Randy Weston,http://base.semlab.io/entity/Q657
27,Don Byas,http://base.semlab.io/entity/Q469
28,Leonard Hawkins\t,http://base.semlab.io/entity/Q18984
29,Farmer John\u2019s,http://base.semlab.io/entity/Q18851
30,K & C Lounge,http://base.semlab.io/entity/Q18859
31,Gil Coggins,http://base.semlab.io/entity/Q18950
32,Moulin Rouge,http://base.semlab.io/entity/Q18866
33,Red Garland,http://base.semlab.io/entity/Q660
34,78 Club,http://base.semlab.io/entity/Q18827
35,The Continental,http://base.semlab.io/entity/Q18884
36,The Blue Coronet,http://base.semlab.io/entity/Q18834
37,The East,http://base.semlab.io/entity/Q18885
38,The Muse,http://base.semlab.io/entity/Q18894
39,Putnam Central,http://base.semlab.io/entity/Q18871
40,Tony\u2019s Grand Dean,http://base.semlab.io/entity/Q18898
41,Baby Grand Brooklyn,http://base.semlab.io/entity/Q18830
42,The Kingston Lounge,http://base.semlab.io/entity/Q18860
43,The Grecian Cave,http://base.semlab.io/entity/Q18854
44,Brownie's,http://base.semlab.io/entity/Q18840
45,The Tip Top Inn,http://base.semlab.io/entity/Q18897
46,Freddie Hubbard,http://base.semlab.io/entity/Q934
47,Turbo Village,http://base.semlab.io/entity/Q18901
48,Max Roach,http://base.semlab.io/entity/Q66
49,Charlie Parker,http://base.semlab.io/entity/Q13
50,Teddy Reig,http://base.semlab.io/entity/Q81
51,"Fred Braithwaite, Sr.",http://base.semlab.io/entity/Q18947
52,Sonya Ballroom,http://base.semlab.io/entity/Q18881
53,The Brooklyn Apollo,http://base.semlab.io/entity/Q18838
54,Art Theater,http://base.semlab.io/entity/Q18829
55,The Breevoort Theater,http://base.semlab.io/entity/Q18862
56,King Curtis,http://base.semlab.io/entity/Q325
57,Richard Otto,http://base.semlab.io/entity/Q19014
58,Flamingo Lounge,http://base.semlab.io/entity/Q18853
59,Tony Lester,http://base.semlab.io/entity/Q19027
