Sort,Subject,URI
60,Arlington Inn,http://base.semlab.io/entity/Q18828
61,Town Hill,http://base.semlab.io/entity/Q18900
62,Pumpkins,http://base.semlab.io/entity/Q18870
63,Baby Grand Harlem,http://base.semlab.io/entity/Q18831
64,Cecil Boldon,http://base.semlab.io/entity/Q18930
65,Jazz Spot,http://base.semlab.io/entity/Q18891
66,Club La Marchal,http://base.semlab.io/entity/Q18847
67,Brooklyn Palace,http://base.semlab.io/entity/Q18839
68,Ben\u2019s,http://base.semlab.io/entity/Q18832
69,Paul\u2019s,http://base.semlab.io/entity/Q18868
70,Harold Cumberbatch,http://base.semlab.io/entity/Q18953
71,Cannonball Adderley,http://base.semlab.io/entity/Q777
72,John Coltrane,http://base.semlab.io/entity/Q33
73,The Fantasy,http://base.semlab.io/entity/Q18887
74,Burt Keyes,http://base.semlab.io/entity/Q18926
75,Otis Redding,http://base.semlab.io/entity/Q19003
76,Maurice Brown,http://base.semlab.io/entity/Q18990
77,Smuckers,http://base.semlab.io/entity/Q18879
78,The Tiffany Lounge,http://base.semlab.io/entity/Q18896
79,Jennifer Scott,http://base.semlab.io/entity/Q18963
80,Freddie Cole,http://base.semlab.io/entity/Q18948
81,Gigi Gryce,http://base.semlab.io/entity/Q9
82,Cannon Miller,http://base.semlab.io/entity/Q18927
83,Jazz 966,http://base.semlab.io/entity/Q18857
84,Etta Jones,http://base.semlab.io/entity/Q18944
85,Wynton Kelly,http://base.semlab.io/entity/Q1098
86,Harry Belafonte,http://base.semlab.io/entity/Q129
87,Irvin Burgie,http://base.semlab.io/entity/Q18956
88,The Bucket of Blood,http://base.semlab.io/entity/Q18841
89,The Five Spot,http://base.semlab.io/entity/Q18852
90,Scoby Strohman,http://base.semlab.io/entity/Q19022
91,Tommy Williams,http://base.semlab.io/entity/Q19026
92,Jaki Byard,http://base.semlab.io/entity/Q30
93,The Hole,http://base.semlab.io/entity/Q18889
94,The Night of the Cookers (performance),
95,Brooklyn,http://base.semlab.io/entity/Q18808
96,"Bedford-Stuyvesant (New York, N.Y.)",http://id.loc.gov/authorities/names/n91082771
97,Jazz,http://id.loc.gov/authorities/subjects/sh85069833
98,Jazz musicians,http://id.loc.gov/authorities/subjects/sh85069835
99,African American jazz musicians,http://id.loc.gov/authorities/subjects/sh2001006683
