Sort,Subject,URI
1,Willard Jenkins,http://base.semlab.io/entity/Q19038
2,Harold Valle,http://base.semlab.io/entity/Q18955
3,Jo Ann Cheatham,http://base.semlab.io/entity/Q18968
4,Tony's Grand Dean,http://base.semlab.io/entity/Q18898
5,Tulivu Donna Cumberbatch,http://base.semlab.io/entity/Q19029
6,Donald Sangster,http://base.semlab.io/entity/Q18936
7,Kingston Lounge,http://base.semlab.io/entity/Q18860
8,Vincent Jones,http://base.semlab.io/entity/Q19100
9,Putnam Central,http://base.semlab.io/entity/Q18871
10,Jimmy Morton,http://base.semlab.io/entity/Q18966
11,Harold Cumberbatch,http://base.semlab.io/entity/Q18953
12,Thelonious Monk,http://base.semlab.io/entity/Q71
13,Ray Abrams,http://base.semlab.io/entity/Q19011
14,Sugar Hill,http://base.semlab.io/entity/Q18883
15,Elaine Applin,http://base.semlab.io/entity/Q18942
16,The East,http://base.semlab.io/entity/Q18885
17,Leroy Applin,http://base.semlab.io/entity/Q18985
18,Randy Weston,http://base.semlab.io/entity/Q657
19,Wilson Hayes,http://base.semlab.io/entity/Q19041
20,McCoy Tyner,http://base.semlab.io/entity/Q200
21,Mamie Smith,http://base.semlab.io/entity/Q656
22,Coleman Hawkins,http://base.semlab.io/entity/Q24
23,Jazz Hounds,http://base.semlab.io/entity/Q18815
24,The Elks,http://base.semlab.io/entity/Q18886
25,Rahsaan Roland Kirk,http://base.semlab.io/entity/Q1909
26,Pharoah Sanders,http://base.semlab.io/entity/Q8
27,Leon Thomas,http://base.semlab.io/entity/Q18983
28,Jean Carn,http://base.semlab.io/entity/Q18960
29,Doug Carn,http://base.semlab.io/entity/Q18937
30,Big Maybelle,http://base.semlab.io/entity/Q95
31,Arlington Inn,http://base.semlab.io/entity/Q18828
32,Town Hill,http://base.semlab.io/entity/Q18900
33,Howard McGhee,http://base.semlab.io/entity/Q457
34,Dickie Habersham-Bey,http://base.semlab.io/entity/Q19013
35,Joe Williams,http://base.semlab.io/entity/Q46
36,Turbo Village,http://base.semlab.io/entity/Q18901
37,Lucky Spot,http://base.semlab.io/entity/Q18863
38,Jefferson Bar,http://base.semlab.io/entity/Q18858
39,The Id,http://base.semlab.io/entity/Q18890
40,Clifford Jordan,http://base.semlab.io/entity/Q63
41,Kenny Dorham,http://base.semlab.io/entity/Q55
42,Ed Stoute,http://base.semlab.io/entity/Q18941
43,Flamingo Lounge,http://base.semlab.io/entity/Q18853
44,The Fantasy,http://base.semlab.io/entity/Q18887
45,Tip Top Inn,http://base.semlab.io/entity/Q18897
46,Brownie's,http://base.semlab.io/entity/Q18840
47,John Orr,http://base.semlab.io/entity/Q18972
48,Jazz Spot,http://base.semlab.io/entity/Q18891
49,Club La Marchal,http://base.semlab.io/entity/Q18847
50,Brevoort Theater,http://base.semlab.io/entity/Q18862
51,Crescent Lounge,http://base.semlab.io/entity/Q18849
52,Willoughby Temple,http://base.semlab.io/entity/Q18910
53,Smuckers,http://base.semlab.io/entity/Q18879
54,Brooklyn Academy of Music,http://base.semlab.io/entity/Q18837
55,Eddie Freeman,http://base.semlab.io/entity/Q18939
56,James Baldwin,http://base.semlab.io/entity/Q1834
57,Jennifer Scott,http://base.semlab.io/entity/Q18963
58,John Stevenson,http://base.semlab.io/entity/Q18973
59,Lee Blair,http://base.semlab.io/entity/Q1567
60,Sun Ra,http://base.semlab.io/entity/Q52
61,Grecian Cave,http://base.semlab.io/entity/Q18854
62,Pumpkin's,http://base.semlab.io/entity/Q18870
63,Bill Rutherford,http://base.semlab.io/entity/Q18920
64,Melvin Sparks,http://base.semlab.io/entity/Q18994
65,Valhalla,http://base.semlab.io/entity/Q18904
66,The Hole,http://base.semlab.io/entity/Q18889
67,Betty Carter,http://base.semlab.io/entity/Q102
68,Pratt Institute,http://base.semlab.io/entity/Q19101
69,Up Over Jazz Caf\u00e9,http://base.semlab.io/entity/Q18903
70,Enos Payne,http://base.semlab.io/entity/Q18935
71,Birdland,http://base.semlab.io/entity/Q18833
72,Wynton Marsalis,http://base.semlab.io/entity/Q34
73,Sista's Place,http://base.semlab.io/entity/Q18876
74,Alma Carroll,http://base.semlab.io/entity/Q18915
75,Sankofa,http://base.semlab.io/entity/Q18874
76,Brooklyn Apollo,http://base.semlab.io/entity/Q18838
77,Slave Theater,http://base.semlab.io/entity/Q18877
78,Club Jest US,
79,"Baldwin, James, 1924-1987. Blues for Mister Charlie.",
80,Brooklyn,http://base.semlab.io/entity/Q18808
81,"Bedford-Stuyvesant (New York, N.Y.)",http://id.loc.gov/authorities/names/n91082771
82,Jazz,http://id.loc.gov/authorities/subjects/sh85069833
83,Jazz musicians,http://id.loc.gov/authorities/subjects/sh85069835
84,African American jazz musicians,http://id.loc.gov/authorities/subjects/sh2001006683
85,Jazz 966,http://base.semlab.io/entity/Q18857
