Sort,Subject,URI
1,Betty Carter,http://base.semlab.io/entity/Q102
2,James Spaulding,http://base.semlab.io/entity/Q18957
3,Luis Reyes Rivera,http://base.semlab.io/entity/Q18987
4,Haki R. Madhubuti,http://base.semlab.io/entity/Q18952
5,Carlos Garnett,http://base.semlab.io/entity/Q18929
6,Willard Jenkins,http://base.semlab.io/entity/Q19038
7,Roger Wareham,http://base.semlab.io/entity/Q19016
8,Sista's Place,http://base.semlab.io/entity/Q18876
9,John Coltrane,http://base.semlab.io/entity/Q33
10,Freddie Hubbard,http://base.semlab.io/entity/Q934
11,Ahmed Abdullah,http://base.semlab.io/entity/Q18913
12,The Blue Coronet,http://base.semlab.io/entity/Q18834
13,The East,http://base.semlab.io/entity/Q18885
14,Abbey Lincoln,http://base.semlab.io/entity/Q1386
15,The Vanguard,http://base.semlab.io/entity/Q18895
16,Leon Thomas,http://base.semlab.io/entity/Q18983
17,Randy Weston,http://base.semlab.io/entity/Q657
18,"Cabral, Amílcar, 1924-1973",http://id.loc.gov/authorities/names/n79077258
19,Guinea-Bissau,http://id.loc.gov/authorities/names/n80061076
20,"Harlem (New York, N.Y.)",http://id.loc.gov/authorities/names/n79063979
21,Brooklyn,http://base.semlab.io/entity/Q18808
22,"Bedford-Stuyvesant (New York, N.Y.)",http://id.loc.gov/authorities/names/n91082771
23,Jazz,http://id.loc.gov/authorities/subjects/sh85069833
24,Jazz musicians,http://id.loc.gov/authorities/subjects/sh85069835
25,African American jazz musicians,http://id.loc.gov/authorities/subjects/sh2001006683
