Sort,Subject,URI
1,Brooklyn Repertory Ensemble,http://base.semlab.io/entity/Q18812
2,Randy Weston,http://base.semlab.io/entity/Q657
3,Max Roach,http://base.semlab.io/entity/Q66
4,Ray Abrams,http://base.semlab.io/entity/Q19011
5,Billie Holiday,http://base.semlab.io/entity/Q43
6,Nancy Wilson,http://base.semlab.io/entity/Q85
7,Dizzy Gillespie,http://base.semlab.io/entity/Q35
8,Putnam Central,http://base.semlab.io/entity/Q18871
9,Coleman Hawkins,http://base.semlab.io/entity/Q24
10,Arnett Cobb,http://base.semlab.io/entity/Q831
11,Cecil Payne,http://base.semlab.io/entity/Q18931
12,Lester Young,http://base.semlab.io/entity/Q12
13,Charlie Parker,http://base.semlab.io/entity/Q13
14,Rahsaan Roland Kirk,http://base.semlab.io/entity/Q1909
15,McCoy Tyner,http://base.semlab.io/entity/Q200
16,Kingston Lounge,http://base.semlab.io/entity/Q18860
17,Andre Strobert,http://base.semlab.io/entity/Q18916
18,Wynton Kelly,http://base.semlab.io/entity/Q1098
19,Rafik Williamson,http://base.semlab.io/entity/Q19008
20,Ed Stoute,http://base.semlab.io/entity/Q18941
21,Willard Jenkins,http://base.semlab.io/entity/Q19038
22,Tulivu-Donna Cumberbatch,http://base.semlab.io/entity/Q19029
23,Harold Cumberbatch,http://base.semlab.io/entity/Q18953
24,Lionel Hampton,http://base.semlab.io/entity/Q39
25,Count Basie,http://base.semlab.io/entity/Q72
26,Ernie Henry,http://base.semlab.io/entity/Q18943
27,Louis Armstrong,http://base.semlab.io/entity/Q101
28,The Blue Coronet,http://base.semlab.io/entity/Q18834
29,Sonia Ballroom (Akbar Hall),http://base.semlab.io/entity/Q18881
30,West End Cafe,http://base.semlab.io/entity/Q18908
31,Swing to Bop Quintet,http://base.semlab.io/entity/Q18823
32,Nat King Cole,http://base.semlab.io/entity/Q25
33,Frank Sinatra,http://base.semlab.io/entity/Q346
34,Sarah Vaughan,http://base.semlab.io/entity/Q93
35,Ella Fitzgerald,http://base.semlab.io/entity/Q127
36,Carmen McRae,http://base.semlab.io/entity/Q566
37,All-City Chorus,http://base.semlab.io/entity/Q18810
38,The East,http://base.semlab.io/entity/Q18885
39,Rashim,http://base.semlab.io/entity/Q19009
40,Onaje Allan Gumbs,http://base.semlab.io/entity/Q19001
41,Buddy Williams,http://base.semlab.io/entity/Q18925
42,Ray Abrams Big Band,http://base.semlab.io/entity/Q18819
43,Baritone Saxophones,http://base.semlab.io/entity/Q18811
44,Sista's Place,http://base.semlab.io/entity/Q18876
45,The Flamingo Lounge,http://base.semlab.io/entity/Q18853
46,Yoko Kanno,http://base.semlab.io/entity/Q19042
47,Wade E. Barnes,http://base.semlab.io/entity/Q19034
48,Miles Davis,http://base.semlab.io/entity/Q41
49,Jean Cam,http://base.semlab.io/entity/Q18959
50,"Brownsville (New York, N.Y.)",http://id.loc.gov/authorities/names/n82238130
51,Erasmus Hall High School,https://id.loc.gov/authorities/no2004003283
52,Hunter College,https://id.loc.gov/authorities/n80060429
53,Metropolitan High School,
54,Our Lady of Victory Elementary School,
55,Brooklyn,http://base.semlab.io/entity/Q18808
56,"Bedford-Stuyvesant (New York, N.Y.)",http://id.loc.gov/authorities/names/n91082771
57,Jazz,http://id.loc.gov/authorities/subjects/sh85069833
58,Jazz musicians,http://id.loc.gov/authorities/subjects/sh85069835
59,African American jazz musicians,http://id.loc.gov/authorities/subjects/sh2001006683
