item,itemLabel
http://base.semlab.io/entity/Q230,Jimmy Hamilton
http://base.semlab.io/entity/Q231,Stan Getz
http://base.semlab.io/entity/Q232,Clark Sisters
http://base.semlab.io/entity/Q233,Mel Torme
http://base.semlab.io/entity/Q234,Bill Finegan
http://base.semlab.io/entity/Q235,Matt Copus
http://base.semlab.io/entity/Q236,Ronnie Aldrich
http://base.semlab.io/entity/Q237,Buddy Arnold
http://base.semlab.io/entity/Q238,Ross Hastings
http://base.semlab.io/entity/Q239,Teddy Wilson
http://base.semlab.io/entity/Q240,Louie Bellson
http://base.semlab.io/entity/Q241,William D. Simone
http://base.semlab.io/entity/Q242,Mike Stockland
http://base.semlab.io/entity/Q243,Lennie Tristano
http://base.semlab.io/entity/Q244,Charlie Ventura
http://base.semlab.io/entity/Q245,Pat Dane
http://base.semlab.io/entity/Q246,Phil Woods
http://base.semlab.io/entity/Q247,Ray Brown
http://base.semlab.io/entity/Q248,Oscar Pettiford
http://base.semlab.io/entity/Q249,Roy Eldridge
http://base.semlab.io/entity/Q250,Milt Jackson
http://base.semlab.io/entity/Q251,Molly Murphy
http://base.semlab.io/entity/Q252,Buddy Rich
http://base.semlab.io/entity/Q253,Art Mooney
http://base.semlab.io/entity/Q254,Bobby Graf
http://base.semlab.io/entity/Q255,John Levy
http://base.semlab.io/entity/Q256,Karen Horney
http://base.semlab.io/entity/Q257,Elliot Lawrence
http://base.semlab.io/entity/Q258,Ross Wyre
http://base.semlab.io/entity/Q259,Sonny Clark
http://base.semlab.io/entity/Q260,Eugene Hall
http://base.semlab.io/entity/Q261,Nat Siegel
http://base.semlab.io/entity/Q262,Pee Wee Russell
http://base.semlab.io/entity/Q263,Jimmy Pupa
http://base.semlab.io/entity/Q264,Gene Quill
http://base.semlab.io/entity/Q265,Herb Ellis
http://base.semlab.io/entity/Q266,Eugene Wright
http://base.semlab.io/entity/Q267,Leonard DeFranco
http://base.semlab.io/entity/Q268,Sandy Block
http://base.semlab.io/entity/Q269,Gerry Mulligan
http://base.semlab.io/entity/Q270,Johnny Mintz
http://base.semlab.io/entity/Q271,Dave McKay
http://base.semlab.io/entity/Q272,Terry Gibbs
http://base.semlab.io/entity/Q273,Kenny Drew
http://base.semlab.io/entity/Q274,Jeff Hamilton
http://base.semlab.io/entity/Q275,Jamey Aebersold
http://base.semlab.io/entity/Q276,Happy Cotrill
http://base.semlab.io/entity/Q277,Christopher Hitchens
http://base.semlab.io/entity/Q278,Kai Winding
http://base.semlab.io/entity/Q279,Vito Pascucci
http://base.semlab.io/entity/Q280,Hal Schaffer
http://base.semlab.io/entity/Q281,Art Blakey
http://base.semlab.io/entity/Q282,Caesar Petrillo
http://base.semlab.io/entity/Q283,Bill Haley
http://base.semlab.io/entity/Q284,George Shearing
http://base.semlab.io/entity/Q285,Pete Candoli
http://base.semlab.io/entity/Q286,Nelson Riddle
http://base.semlab.io/entity/Q287,Bob Bates
http://base.semlab.io/entity/Q288,Fred Waring
http://base.semlab.io/entity/Q289,Billy VerPlanck
http://base.semlab.io/entity/Q290,Bernie Glow
http://base.semlab.io/entity/Q291,Stephen Hawking
http://base.semlab.io/entity/Q292,Marshall Royal
http://base.semlab.io/entity/Q293,John Denman
http://base.semlab.io/entity/Q294,Rudy Van Gelder
http://base.semlab.io/entity/Q295,Benny Golson
http://base.semlab.io/entity/Q296,Ray Bradbury
http://base.semlab.io/entity/Q297,Barbara Walter
http://base.semlab.io/entity/Q298,Reggie
http://base.semlab.io/entity/Q299,Anat Cohen
http://base.semlab.io/entity/Q300,Monk Rowe
http://base.semlab.io/entity/Q301,Eddie Daniels
http://base.semlab.io/entity/Q302,Whitney Balliett
http://base.semlab.io/entity/Q303,Leonard Feather
http://base.semlab.io/entity/Q304,Andy Kirk
http://base.semlab.io/entity/Q305,Toots Thielemans
http://base.semlab.io/entity/Q306,John McHale
http://base.semlab.io/entity/Q307,Neal Tate
http://base.semlab.io/entity/Q308,Zane Paul
http://base.semlab.io/entity/Q309,Ray Burns
http://base.semlab.io/entity/Q310,Jim Mahenza
http://base.semlab.io/entity/Q311,Dave Brubeck
http://base.semlab.io/entity/Q312,Osie Johnson
http://base.semlab.io/entity/Q313,Galt McDermott
http://base.semlab.io/entity/Q314,Mary Lou Williams
http://base.semlab.io/entity/Q315,Bill Regis
http://base.semlab.io/entity/Q316,Lucky Millinder
http://base.semlab.io/entity/Q317,Marian McPartland
http://base.semlab.io/entity/Q318,Eddie Williams
http://base.semlab.io/entity/Q319,Bill Jennings
http://base.semlab.io/entity/Q320,Jane Jarvis
http://base.semlab.io/entity/Q321,Jay Leonhart
http://base.semlab.io/entity/Q322,Nicholas Brothers
http://base.semlab.io/entity/Q323,Johnny Johanna
http://base.semlab.io/entity/Q324,Ethel Waters
http://base.semlab.io/entity/Q325,King Curtis
http://base.semlab.io/entity/Q326,Esther Williams
http://base.semlab.io/entity/Q327,Kate Smith
http://base.semlab.io/entity/Q328,Sugar Chile Robinson
http://base.semlab.io/entity/Q329,Michael Butler
http://base.semlab.io/entity/Q330,Alan Fontaine
http://base.semlab.io/entity/Q331,Horace Silver
http://base.semlab.io/entity/Q332,Cootie Williams
http://base.semlab.io/entity/Q333,Joe Comfort
http://base.semlab.io/entity/Q334,Pearl Bailey
http://base.semlab.io/entity/Q335,Helen Humes
http://base.semlab.io/entity/Q336,Bob Haggart
http://base.semlab.io/entity/Q337,Ivory Joe Hunter
http://base.semlab.io/entity/Q338,Dave Wilborn
http://base.semlab.io/entity/Q339,Earl Partello
http://base.semlab.io/entity/Q340,Sonny Payne
http://base.semlab.io/entity/Q341,Don Redman
http://base.semlab.io/entity/Q343,Eddie Davis
http://base.semlab.io/entity/Q344,Bing Crosby
http://base.semlab.io/entity/Q345,Ed Eckstine
http://base.semlab.io/entity/Q346,Frank Sinatra
