Brooklyn,,False
Betty Carter,person,http://base.semlab.io/entity/Q102
James Spaulding,person,False
Luis Reyes Rivera,person,False
Haki Madhabouti,person,False
Carlos Garnett?,person,False
Willard Jenkins,person,False
Roger Wareham,person,False
Sista's Place,,False
John Coltrane,person,http://base.semlab.io/entity/Q33
Freddie Hubbard,person,http://base.semlab.io/entity/Q934
Ahmed Abdullah,person,False
The Blue Coronet,,False
The East,,False
Abbey Lincoln,person,http://base.semlab.io/entity/Q1386
The Vanugard,,False
Leon Thomas,person,False
Randy Weston,person,http://base.semlab.io/entity/Q657
