Willard Jenkins,person,False
Brooklyn,,False
James Spaulding,person,False
The Blue Coronet,,False
The Continental,,False
Cassandra Wilson,person,http://base.semlab.io/entity/Q1381
The Happy Landing,,False
Joe Louis,person,http://base.semlab.io/entity/Q746
Carlos Garnett,person,False
Freddie Hubbard,person,http://base.semlab.io/entity/Q934
Dexter Gordon,person,http://base.semlab.io/entity/Q117
Lee Morgan,person,http://base.semlab.io/entity/Q959
J.J. Johnson,person,http://base.semlab.io/entity/Q1090
The East,,False
Sonny Stitt,person,http://base.semlab.io/entity/Q448
Baby Grand Brooklyn,,False
Club La Marchal,,False
Art Blakey,person,http://base.semlab.io/entity/Q281
Orville O'Brien,person,False
Harold Mabern,person,False
Bob Cunningham,person,False
Lenny White,person,http://base.semlab.io/entity/Q468
Michael Ridley,person,False
Larry Ridley,person,False
Randy Weston,person,http://base.semlab.io/entity/Q657
Max Roach,person,http://base.semlab.io/entity/Q66
Jitu Weusi,person,False
Up Over Jazz Café,,False
Sista's Place,,False
