Brooklyn​,,False
Jo Ann Cheatham,Person,False
The East,,False
Leon Thomas,person,False
Pharoah Sanders,person,https://base.semlab.io/entity/Q8
Nina Simone​,person,https://base.semlab.io/entity/Q1209
Jazz 966​,,False
Dave Brubeck,person,https://base.semlab.io/entity/Q311
Ahmad Jamal​,person,https://base.semlab.io/entity/Q665
Thelonius Monk,person,https://base.semlab.io/entity/Q71
Nat “King” Cole,person,https://base.semlab.io/entity/Q25
The Flamingo Lounge,,False
Brownies,,False
C. Scoby Stroman,person,False
Tony's Grand Dean,,False
Sista’s Place,,False
Jean Carn​,person,False
Kiane Zawadi,person,False
Blue Note,,False
Ed Stoute,person,False
Doug Carn,person,False
Gary Bartz,person,False
Bill Doggett,person,https://base.semlab.io/entity/Q1580
Etta Jones,person,False
Houston Person,person,https://base.semlab.io/entity/Q968
Birdland,,False
Slug's,,False
Billy Higgins,person,https://base.semlab.io/entity/Q204
Max Roach,person,https://base.semlab.io/entity/Q66
Torrie McCartney,person,False
Jackie McLean,person,https://base.semlab.io/entity/Q365
Roy Hargrove,person,https://base.semlab.io/entity/Q187
Stefon Harris,person,False
Roland Alexander,person,False
The Muse,,False
Randy Weston,person,https://base.semlab.io/entity/Q657
Leroy Applin,person,False
Kenyatta Beasley,person,False
Up Over Jazz Café,,False
Viola Plummer,person,False
Barry Harris,person,https://base.semlab.io/entity/Q1009
Medgar Evers Colleg​e,,False
Arlington Inn,,False
Sonya Ballroom (Akbar Hall),,False
Baby Grand Brooklyn,,False
Blue Coronet,,False
Lennox Lounge​,,False
The Jazz Standard​,,False
Abbey Lincoln,person,https://base.semlab.io/entity/Q1386
Sun Ra,person,https://base.semlab.io/entity/Q52
Pookie's,,False
Dizzy's Club,,False
Harlem Stage,,False
Solomon’s Porch​,,False
Maurice Brown,person,False
St. Nick’s Pub,,False
Brooklyn Academy of Music,,False
Jitu Weusi,person,False
Alma Carroll,person,False
Roslyn Blair,person,False
Bernice Brooks,person,False
Melba Joyce,person,False
Joanne Brackeen,person,https://base.semlab.io/entity/Q873
Andy Kirk,person,https://base.semlab.io/entity/Q304
Morris-Jumel Mansion,,False
