entity-alpha-sort,wikidata-label,entity-type,wikidata-uri,loc-id,musicbrainz-id,snac-ark-id,wikidata-id,in-lj-dataset
"Golson, Benny",Benny Golson,Person,https://www.wikidata.org/entity/Q121535,n83160892,486bfccd-e9d5-4d7e-96b1-b9bbc6218743,w6863vg4,Q121535,Yes
"Gordon, Dexter",Dexter Gordon,Person,https://www.wikidata.org/entity/Q118116,n82099719,cc1588e1-5ba3-45a6-b80c-b31035c89339,w6m33229,Q118116,Yes
"Hampton, Locksley Wellington ""Slide""",Slide Hampton,Person,https://www.wikidata.org/entity/Q1369035,n78017705,f79f96fb-eaa4-4978-af2a-e5e367e681d2,w66v6fzh,Q1369035,Yes
"Hampton, Lionel",Lionel Hampton,Person,https://www.wikidata.org/entity/Q313525,n81149163,17cf2413-99c1-441d-ba92-700e811daf56,w6z60vg6,Q313525,Yes
"Harris, Barry",Barry Harris,Person,https://www.wikidata.org/entity/Q809046,n79150113,413ad03f-d419-43f8-90e2-c24306b965fe,w6dd3b0z,Q809046,Yes
"Hayes, Louis",Louis Hayes,Person,https://www.wikidata.org/entity/Q330240,n80035323,1e15c55f-e661-4910-9c0c-49a7b77b4d55,w60426pd,Q330240,
"Heath, Percy",Percy Heath,Person,https://www.wikidata.org/entity/Q981283,n82099997,534362cd-66ed-45a8-9cba-b847dbf75b6f,w6915spb,Q981283,Yes
"Jarvis, Clifford",Clifford Jarvis,Person,https://www.wikidata.org/entity/Q356881,no91018919,790ed08c-c8f6-448c-a86d-a180e3113ca1,,Q356881,
"Johnson, J.J.",J. J. Johnson,Person,https://www.wikidata.org/entity/Q504915,n84011598,33e50556-d4be-421b-a5d1-644bd536ec07,w6m332cb,Q504915,Yes
"Jones, Philly Joe",Philly Joe Jones,Person,https://www.wikidata.org/entity/Q709873,n82077167,53717b9b-62ab-4d83-94dd-e559164e10dc,w6gn1344,Q709873,Yes
"Jones, Virgil",Virgil Jones,Person,https://www.wikidata.org/entity/Q2527665,n92017102,90098f18-d8ce-493f-9e12-a0d6ba960fe7,,Q2527665,
"LaRoca, Pete",Pete La Roca,Person,https://www.wikidata.org/entity/Q83714,n85025849,da386a16-0431-4cc2-8575-43798822bef2,w6k48c59,Q83714,
